age,income,tenure,contract_type,payment_method,churn
23.0,42444.0,10.0,Month-to-month,Credit card,1
66.0,39413.0,23.0,Month-to-month,Credit card,0
47.0,25345.0,68.0,One year,Mailed check,0
36.0,60233.0,7.0,Month-to-month,Bank transfer,0
18.0,48617.0,45.0,Month-to-month,Bank transfer,0
45.0,15000.0,47.0,Month-to-month,Electronic check,1
26.0,45357.0,34.0,Month-to-month,Credit card,0
73.0,38781.0,2.0,Month-to-month,Electronic check,0
34.0,83362.0,2.0,Month-to-month,Bank transfer,1
45.0,24350.0,19.0,Two year,Electronic check,0
19.0,29056.0,7.0,One year,Electronic check,0
25.0,74979.0,6.0,Month-to-month,Mailed check,1
29.0,79422.0,11.0,Month-to-month,Mailed check,0
20.0,41590.0,13.0,One year,Credit card,0
59.0,43622.0,60.0,Month-to-month,Credit card,0
71.0,66092.0,45.0,Month-to-month,Electronic check,1
74.0,15000.0,2.0,One year,Electronic check,0
33.0,21499.0,45.0,Month-to-month,Mailed check,1
62.0,49947.0,9.0,Month-to-month,Mailed check,1
46.0,82898.0,30.0,Month-to-month,Mailed check,0
20.0,47157.0,2.0,Month-to-month,Credit card,1
23.0,56817.0,6.0,Month-to-month,Bank transfer,1
49.0,75408.0,9.0,Two year,Electronic check,0
42.0,92924.0,31.0,Month-to-month,Mailed check,0
18.0,44617.0,33.0,One year,Bank transfer,0
71.0,54697.0,25.0,One year,Mailed check,1
59.0,87797.0,44.0,Month-to-month,Electronic check,1
46.0,27600.0,51.0,Month-to-month,Mailed check,1
74.0,73496.0,52.0,Month-to-month,Mailed check,1
73.0,36670.0,41.0,One year,Electronic check,0
73.0,56845.0,39.0,Month-to-month,Bank transfer,1
32.0,50633.0,35.0,One year,Electronic check,0
68.0,37756.0,17.0,Two year,Bank transfer,0
46.0,37304.0,35.0,One year,Mailed check,0
59.0,59975.0,0.0,Two year,Credit card,0
66.0,72920.0,69.0,One year,Electronic check,0
27.0,52665.0,26.0,Two year,Electronic check,0
43.0,56262.0,54.0,Two year,Electronic check,0
25.0,65281.0,68.0,One year,Mailed check,0
33.0,37511.0,35.0,,Electronic check,1
41.0,68314.0,62.0,Two year,Bank transfer,0
66.0,69748.0,34.0,Month-to-month,Electronic check,1
67.0,101865.0,9.0,One year,Electronic check,0
40.0,48230.0,1.0,Month-to-month,Mailed check,1
36.0,46755.0,9.0,Two year,Bank transfer,0
48.0,68841.0,67.0,Month-to-month,Credit card,0
69.0,69744.0,34.0,Two year,Bank transfer,0
73.0,45368.0,22.0,One year,Bank transfer,0
30.0,47743.0,32.0,Two year,Bank transfer,0
28.0,64740.0,18.0,Month-to-month,Bank transfer,0
58.0,40103.0,62.0,One year,Electronic check,0
35.0,47610.0,71.0,One year,Bank transfer,0
29.0,56613.0,6.0,Two year,Bank transfer,0
19.0,72927.0,51.0,Two year,Electronic check,0
40.0,44117.0,24.0,One year,Bank transfer,0
40.0,21837.0,3.0,One year,Mailed check,0
50.0,,66.0,Month-to-month,Mailed check,1
29.0,32331.0,4.0,Two year,Electronic check,0
58.0,31363.0,14.0,Month-to-month,Bank transfer,1
56.0,52217.0,1.0,One year,Credit card,1
44.0,33600.0,33.0,One year,Electronic check,0
28.0,42350.0,43.0,Month-to-month,Mailed check,0
46.0,41066.0,23.0,Month-to-month,Electronic check,1
56.0,47071.0,5.0,Month-to-month,Electronic check,1
39.0,78805.0,8.0,Two year,Credit card,0
33.0,66915.0,67.0,Month-to-month,Mailed check,0
46.0,55290.0,58.0,Month-to-month,Mailed check,0
38.0,46702.0,67.0,One year,Electronic check,0
40.0,47202.0,38.0,Month-to-month,Credit card,0
37.0,60899.0,39.0,Two year,Electronic check,0
35.0,65515.0,56.0,Month-to-month,Bank transfer,0
58.0,38663.0,44.0,Month-to-month,Electronic check,0
44.0,55657.0,31.0,Month-to-month,Electronic check,1
44.0,18431.0,21.0,Month-to-month,Bank transfer,1
55.0,58811.0,34.0,Month-to-month,Electronic check,1
38.0,68719.0,4.0,One year,Bank transfer,0
23.0,49959.0,13.0,Month-to-month,Electronic check,0
66.0,87697.0,53.0,Month-to-month,Bank transfer,0
21.0,39138.0,62.0,Month-to-month,Bank transfer,1
50.0,58914.0,7.0,Month-to-month,Bank transfer,0
33.0,54355.0,6.0,Two year,Electronic check,0
30.0,53195.0,6.0,Month-to-month,Bank transfer,1
20.0,52942.0,56.0,Two year,Credit card,0
69.0,56928.0,22.0,Month-to-month,Electronic check,0
42.0,70263.0,23.0,Month-to-month,Electronic check,0
37.0,79799.0,0.0,,Credit card,1
60.0,54959.0,70.0,Month-to-month,Electronic check,0
20.0,69676.0,31.0,One year,Bank transfer,0
50.0,42368.0,57.0,Month-to-month,Bank transfer,1
46.0,68787.0,50.0,Month-to-month,Electronic check,0
49.0,41284.0,10.0,One year,Bank transfer,0
25.0,74632.0,57.0,One year,Bank transfer,0
72.0,94792.0,39.0,Two year,Electronic check,0
31.0,52802.0,43.0,Two year,Credit card,0
56.0,15534.0,14.0,One year,Electronic check,0
60.0,45135.0,60.0,Two year,Mailed check,0
37.0,77174.0,67.0,One year,Credit card,0
25.0,64955.0,29.0,Month-to-month,Electronic check,0
34.0,59480.0,6.0,One year,Credit card,1
63.0,73156.0,61.0,Month-to-month,Electronic check,1
69.0,63720.0,63.0,One year,Mailed check,0
71.0,76919.0,36.0,Two year,Electronic check,0
30.0,71550.0,41.0,Month-to-month,Bank transfer,0
52.0,82391.0,16.0,Two year,Bank transfer,0
26.0,61458.0,4.0,Two year,Credit card,0
58.0,71295.0,67.0,Month-to-month,Credit card,1
41.0,49472.0,34.0,Month-to-month,Bank transfer,0
58.0,44174.0,19.0,Two year,Bank transfer,0
57.0,85722.0,49.0,Two year,Mailed check,0
74.0,58892.0,1.0,Month-to-month,Credit card,1
45.0,69488.0,5.0,Month-to-month,Bank transfer,0
37.0,57227.0,17.0,One year,Credit card,1
48.0,44443.0,32.0,Month-to-month,Electronic check,0
27.0,55198.0,26.0,Month-to-month,Mailed check,1
24.0,80848.0,13.0,Month-to-month,Bank transfer,0
47.0,64994.0,25.0,Month-to-month,Electronic check,1
65.0,24193.0,24.0,One year,Electronic check,1
48.0,51126.0,37.0,One year,Credit card,0
62.0,87081.0,40.0,One year,Mailed check,0
28.0,51152.0,63.0,One year,Electronic check,0
43.0,22591.0,58.0,Month-to-month,Electronic check,0
52.0,89075.0,21.0,Month-to-month,Mailed check,0
37.0,67283.0,64.0,Month-to-month,Bank transfer,0
18.0,53740.0,37.0,Month-to-month,Credit card,0
22.0,48314.0,13.0,Month-to-month,Credit card,1
70.0,74482.0,24.0,Month-to-month,Bank transfer,0
52.0,45244.0,53.0,Month-to-month,Bank transfer,1
33.0,75669.0,59.0,Month-to-month,Electronic check,0
32.0,64760.0,26.0,One year,Credit card,0
20.0,59404.0,11.0,One year,Electronic check,0
71.0,57619.0,13.0,Two year,Electronic check,0
24.0,51851.0,7.0,One year,Credit card,0
61.0,73822.0,50.0,One year,Credit card,0
31.0,39424.0,36.0,,Electronic check,0
37.0,25805.0,32.0,One year,Bank transfer,1
33.0,66060.0,48.0,Month-to-month,Mailed check,0
64.0,66362.0,59.0,Month-to-month,Electronic check,1
