sqft,bedrooms,age,neighborhood,price
2588.0,3.0,6.0,C,413645.0
1850.0,2.0,46.0,B,283644.0
2119.0,,73.0,D,404650.0
1769.0,1.0,64.0,C,253737.0
1706.0,1.0,73.0,A,229356.0
1371.0,4.0,13.0,D,336087.0
2037.0,,64.0,C,356040.0
1332.0,5.0,78.0,C,268806.0
2166.0,3.0,26.0,A,327112.0
2397.0,1.0,39.0,B,353589.0
2002.0,5.0,42.0,B,346092.0
1643.0,3.0,39.0,D,301320.0
2050.0,2.0,23.0,B,336511.0
1630.0,5.0,77.0,C,266190.0
2315.0,4.0,76.0,B,354767.0
793.0,4.0,30.0,A,170235.0
1615.0,2.0,64.0,B,240074.0
705.0,5.0,31.0,A,163296.0
978.0,3.0,63.0,C,191859.0
2550.0,3.0,46.0,B,357466.0
2292.0,4.0,37.0,C,372018.0
1404.0,4.0,10.0,,239900.0
974.0,1.0,52.0,D,223136.0
450.0,2.0,25.0,D,148248.0
1501.0,2.0,17.0,C,289410.0
3131.0,5.0,15.0,A,436840.0
2039.0,4.0,78.0,B,303054.0
1492.0,2.0,8.0,A,229748.0
2056.0,4.0,63.0,A,333173.0
941.0,4.0,69.0,C,212376.0
1636.0,2.0,2.0,C,292385.0
1855.0,3.0,47.0,D,350124.0
1753.0,5.0,46.0,A,242116.0
2235.0,3.0,28.0,B,346537.0
1990.0,1.0,53.0,B,333200.0
2168.0,4.0,32.0,A,333607.0
1421.0,3.0,35.0,A,233628.0
2294.0,3.0,34.0,B,363343.0
2696.0,4.0,64.0,A,401032.0
1266.0,5.0,50.0,C,219471.0
1312.0,2.0,30.0,B,194293.0
2535.0,3.0,74.0,C,391506.0
1695.0,1.0,64.0,C,259702.0
2572.0,4.0,74.0,A,390981.0
1557.0,3.0,58.0,C,269237.0
2600.0,2.0,31.0,C,363459.0
1872.0,4.0,61.0,B,274930.0
1942.0,3.0,26.0,A,242946.0
2661.0,3.0,21.0,C,416287.0
1601.0,3.0,36.0,A,249752.0
1282.0,2.0,77.0,A,184401.0
1553.0,1.0,45.0,A,250188.0
2049.0,,30.0,C,384350.0
939.0,1.0,36.0,C,189672.0
2151.0,2.0,23.0,C,308376.0
1504.0,4.0,52.0,C,291626.0
2431.0,1.0,28.0,B,366027.0
483.0,4.0,44.0,B,145748.0
1367.0,4.0,29.0,A,255520.0
872.0,4.0,25.0,A,154593.0
1346.0,2.0,77.0,C,275745.0
1936.0,1.0,27.0,B,276681.0
1701.0,5.0,5.0,B,322354.0
1661.0,2.0,30.0,C,256073.0
1712.0,5.0,42.0,B,277135.0
1912.0,1.0,7.0,B,330317.0
1245.0,1.0,24.0,B,208782.0
2189.0,4.0,13.0,A,356928.0
2164.0,5.0,40.0,A,340419.0
2012.0,5.0,57.0,B,324391.0
2106.0,4.0,77.0,A,335047.0
1963.0,2.0,31.0,B,300977.0
2919.0,5.0,69.0,D,440515.0
1752.0,4.0,17.0,A,270225.0
1631.0,1.0,62.0,A,243044.0
1386.0,1.0,45.0,A,216480.0
1232.0,5.0,60.0,A,185499.0
1116.0,2.0,60.0,C,199433.0
1311.0,4.0,42.0,B,227986.0
1761.0,1.0,20.0,C,290011.0
1984.0,2.0,42.0,C,296862.0
1828.0,2.0,66.0,B,264693.0
1379.0,2.0,77.0,C,224958.0
2295.0,4.0,74.0,A,346931.0
2207.0,5.0,14.0,A,366122.0
1712.0,5.0,47.0,A,276074.0
1441.0,4.0,8.0,C,279279.0
2102.0,2.0,53.0,B,317488.0
1903.0,5.0,79.0,A,274378.0
1004.0,3.0,4.0,B,185143.0
1763.0,3.0,52.0,A,248556.0
1944.0,4.0,75.0,C,311334.0
1305.0,4.0,67.0,B,206881.0
1904.0,5.0,31.0,B,325871.0
1000.0,3.0,8.0,A,205794.0
2535.0,4.0,73.0,B,343908.0
2486.0,4.0,73.0,B,370273.0
1661.0,2.0,46.0,A,244821.0
2000.0,2.0,78.0,A,285530.0
475.0,4.0,0.0,D,198741.0
1164.0,1.0,49.0,D,211458.0
1638.0,2.0,3.0,C,271262.0
1210.0,4.0,74.0,A,201888.0
2193.0,5.0,54.0,D,414836.0
2899.0,3.0,73.0,C,387046.0
1153.0,2.0,45.0,C,230525.0
1339.0,3.0,6.0,B,271372.0
1929.0,4.0,2.0,A,309719.0
2686.0,3.0,26.0,A,398224.0
1128.0,1.0,59.0,D,218649.0
1937.0,3.0,12.0,B,314853.0
2802.0,3.0,68.0,A,354022.0
892.0,4.0,19.0,A,135503.0
1095.0,5.0,39.0,B,241605.0
1567.0,5.0,16.0,A,252740.0
1514.0,4.0,37.0,D,301619.0
2247.0,2.0,36.0,C,330311.0
1933.0,3.0,0.0,C,312761.0
824.0,1.0,45.0,B,152653.0
2083.0,5.0,62.0,B,318668.0
1482.0,5.0,74.0,,264499.0
2501.0,,26.0,B,405071.0
1455.0,2.0,70.0,A,222517.0
1450.0,2.0,70.0,B,235272.0
2098.0,5.0,79.0,A,345665.0
2220.0,3.0,29.0,B,323898.0
2046.0,4.0,68.0,A,302621.0
873.0,3.0,45.0,A,185664.0
2096.0,3.0,4.0,A,349411.0
1231.0,4.0,21.0,B,208935.0
1929.0,5.0,53.0,A,296683.0
1017.0,2.0,12.0,D,271002.0
2045.0,5.0,34.0,B,348662.0
1356.0,2.0,61.0,,211275.0
1095.0,3.0,11.0,B,212196.0
2193.0,5.0,39.0,A,331834.0
1933.0,5.0,17.0,D,381774.0
1462.0,5.0,42.0,B,260693.0
2598.0,2.0,19.0,C,405258.0
1558.0,5.0,77.0,,251582.0
1818.0,5.0,6.0,B,307499.0
1948.0,5.0,77.0,B,322453.0
1459.0,1.0,63.0,D,329315.0
2059.0,4.0,68.0,B,284740.0
1507.0,5.0,68.0,B,268520.0
1574.0,4.0,15.0,A,250426.0
2549.0,2.0,74.0,A,357528.0
1228.0,,47.0,B,228841.0
473.0,1.0,76.0,B,118397.0
2686.0,3.0,70.0,A,395330.0
3202.0,4.0,46.0,C,488988.0
1577.0,3.0,29.0,D,335731.0
735.0,4.0,9.0,A,120164.0
1629.0,2.0,8.0,B,305489.0
1643.0,4.0,31.0,A,275811.0
1696.0,4.0,64.0,C,319677.0
1188.0,4.0,40.0,A,186162.0
2119.0,2.0,38.0,C,325365.0
2088.0,,19.0,C,347829.0
978.0,,45.0,C,202269.0
2185.0,3.0,51.0,A,324011.0
2929.0,3.0,78.0,D,479870.0
1895.0,2.0,58.0,A,237796.0
1614.0,3.0,48.0,A,270356.0
1722.0,,72.0,B,262606.0
2138.0,2.0,33.0,B,321934.0
848.0,4.0,74.0,C,163438.0
1890.0,5.0,29.0,C,351711.0
1585.0,2.0,10.0,A,204418.0
2816.0,5.0,33.0,D,489338.0
1704.0,3.0,10.0,A,245138.0
2717.0,1.0,9.0,B,396959.0
1193.0,2.0,70.0,A,182277.0
2123.0,1.0,63.0,D,374101.0
1976.0,1.0,17.0,A,285597.0
1322.0,2.0,67.0,A,187307.0
1898.0,3.0,5.0,B,304878.0
2467.0,4.0,22.0,D,455798.0
1622.0,1.0,56.0,D,303766.0
869.0,5.0,24.0,C,213167.0
1790.0,,58.0,D,315771.0
1304.0,1.0,69.0,D,218986.0
1612.0,4.0,5.0,B,296459.0
1755.0,4.0,1.0,A,257054.0
862.0,4.0,75.0,C,209226.0
911.0,1.0,41.0,C,190542.0
2065.0,1.0,40.0,B,354539.0
1513.0,2.0,37.0,A,212607.0
450.0,,34.0,C,149047.0
2232.0,5.0,55.0,A,374556.0
1950.0,2.0,46.0,D,367728.0
1407.0,1.0,13.0,A,208366.0
1076.0,5.0,50.0,A,206099.0
2260.0,1.0,53.0,C,345690.0
1992.0,,9.0,A,299529.0
3110.0,3.0,30.0,A,422726.0
2031.0,3.0,63.0,B,308884.0
2013.0,4.0,49.0,D,334449.0
1708.0,5.0,10.0,A,294162.0
2249.0,5.0,3.0,A,367830.0
2144.0,2.0,46.0,C,337632.0
2488.0,,36.0,D,403659.0
1513.0,4.0,76.0,B,271731.0
1561.0,1.0,41.0,A,238261.0
1536.0,5.0,74.0,A,233900.0
2235.0,1.0,17.0,A,314638.0
2624.0,3.0,35.0,A,346617.0
1548.0,4.0,11.0,C,278402.0
1566.0,2.0,45.0,A,227414.0
1973.0,2.0,15.0,B,337078.0
1665.0,3.0,39.0,C,282360.0
2324.0,5.0,27.0,B,387234.0
562.0,2.0,14.0,A,117774.0
1345.0,4.0,7.0,C,280909.0
1370.0,3.0,40.0,C,256572.0
524.0,1.0,75.0,C,147091.0
1270.0,4.0,15.0,A,218454.0
1297.0,5.0,32.0,A,202989.0
1689.0,3.0,17.0,D,303091.0
2412.0,1.0,64.0,B,329402.0
1665.0,1.0,33.0,A,221269.0
1233.0,,77.0,B,218214.0
1769.0,3.0,19.0,C,305315.0
2377.0,3.0,6.0,D,464632.0
1263.0,,46.0,A,166706.0
1299.0,3.0,52.0,D,275753.0
2107.0,2.0,79.0,A,268631.0
1678.0,4.0,69.0,B,264342.0
2156.0,4.0,70.0,B,334048.0
1792.0,4.0,50.0,A,233033.0
2186.0,1.0,28.0,A,315257.0
1231.0,5.0,34.0,B,278878.0
1793.0,1.0,10.0,D,320591.0
1684.0,5.0,34.0,B,300376.0
1131.0,1.0,29.0,D,264068.0
940.0,3.0,2.0,C,217821.0
2177.0,1.0,16.0,B,317021.0
1607.0,1.0,42.0,C,225625.0
1238.0,4.0,29.0,A,233230.0
1747.0,4.0,79.0,A,261727.0
2420.0,1.0,38.0,C,349846.0
546.0,5.0,76.0,C,166452.0
977.0,2.0,52.0,A,153366.0
1292.0,2.0,3.0,B,224421.0
2604.0,2.0,16.0,B,400006.0
1955.0,3.0,56.0,D,322232.0
2222.0,1.0,43.0,B,345536.0
1173.0,3.0,24.0,,193406.0
1184.0,2.0,41.0,B,195476.0
2046.0,1.0,72.0,B,331779.0
1832.0,2.0,31.0,C,332537.0
2102.0,4.0,3.0,D,395142.0
1697.0,4.0,24.0,B,273429.0
1953.0,2.0,74.0,A,263875.0
1887.0,2.0,60.0,A,272906.0
2228.0,4.0,66.0,C,362010.0
2244.0,4.0,72.0,C,359263.0
909.0,5.0,9.0,A,195313.0
564.0,5.0,22.0,A,145692.0
2351.0,5.0,4.0,B,356880.0
2453.0,5.0,0.0,A,374030.0
1239.0,3.0,66.0,C,252872.0
777.0,2.0,74.0,A,105973.0
1854.0,2.0,12.0,A,280489.0
2312.0,2.0,57.0,D,367095.0
2789.0,,42.0,A,404207.0
2084.0,4.0,5.0,A,322557.0
1596.0,5.0,73.0,A,285518.0
1309.0,1.0,69.0,A,201062.0
1806.0,3.0,45.0,A,248734.0
1635.0,2.0,56.0,A,256025.0
1242.0,5.0,31.0,A,212697.0
2927.0,2.0,63.0,A,383650.0
2782.0,1.0,35.0,B,400866.0
2425.0,3.0,79.0,C,362515.0
1294.0,5.0,5.0,B,276387.0
2270.0,5.0,13.0,A,342360.0
2152.0,1.0,77.0,B,291911.0
2043.0,2.0,23.0,D,349983.0
2487.0,1.0,24.0,D,396727.0
2149.0,2.0,63.0,A,323814.0
2207.0,3.0,15.0,A,346166.0
2150.0,2.0,41.0,A,343849.0
1987.0,1.0,22.0,A,334093.0
819.0,3.0,15.0,B,161416.0
1846.0,1.0,77.0,B,268978.0
1494.0,2.0,15.0,A,216506.0
1096.0,1.0,7.0,B,186518.0
2725.0,1.0,53.0,B,368848.0
2751.0,3.0,69.0,A,358827.0
2548.0,5.0,10.0,C,406222.0
1940.0,4.0,56.0,A,292314.0
2543.0,1.0,43.0,,383776.0
1807.0,1.0,66.0,A,268583.0
1912.0,2.0,10.0,C,308585.0
1199.0,4.0,78.0,D,314771.0
2018.0,4.0,49.0,D,357982.0
1833.0,5.0,67.0,C,322950.0
1084.0,2.0,28.0,C,195373.0
1772.0,1.0,75.0,B,293512.0
1756.0,1.0,50.0,C,308610.0
2789.0,1.0,10.0,A,395118.0
2292.0,1.0,73.0,B,295554.0
1806.0,5.0,63.0,B,303883.0
1937.0,2.0,24.0,D,327611.0
1824.0,5.0,43.0,B,338077.0
1688.0,3.0,31.0,B,296894.0
1205.0,3.0,43.0,B,220459.0
1717.0,3.0,77.0,A,204362.0
1390.0,5.0,71.0,A,212282.0
1112.0,1.0,17.0,B,214245.0
2081.0,1.0,77.0,B,320028.0
2015.0,3.0,35.0,,325733.0
817.0,2.0,56.0,B,127600.0
1733.0,3.0,61.0,B,281641.0
2348.0,,38.0,A,370770.0
2383.0,3.0,36.0,B,329193.0
2364.0,2.0,36.0,C,371922.0
1821.0,2.0,69.0,A,265847.0
1335.0,4.0,30.0,D,285685.0
1204.0,2.0,22.0,D,225737.0
1990.0,3.0,28.0,B,311486.0
2009.0,3.0,15.0,A,303284.0
2508.0,4.0,31.0,B,384149.0
2405.0,4.0,9.0,C,391181.0
1727.0,3.0,7.0,C,304930.0
1116.0,2.0,57.0,C,214176.0
1624.0,2.0,6.0,B,282629.0
1919.0,3.0,45.0,B,297441.0
1689.0,2.0,62.0,A,238787.0
1482.0,4.0,57.0,C,276737.0
1939.0,2.0,35.0,A,248012.0
1523.0,4.0,15.0,C,304051.0
1455.0,4.0,74.0,D,290689.0
1971.0,5.0,66.0,A,304214.0
1579.0,1.0,48.0,B,264895.0
1934.0,4.0,6.0,A,272924.0
1950.0,1.0,2.0,C,286823.0
1173.0,2.0,25.0,A,203486.0
1535.0,1.0,12.0,D,297858.0
2591.0,1.0,68.0,A,348524.0
1161.0,1.0,16.0,D,242477.0
636.0,1.0,22.0,C,174907.0
776.0,5.0,78.0,B,189473.0
1816.0,1.0,65.0,C,297850.0
1817.0,2.0,17.0,C,307873.0
1735.0,4.0,30.0,D,297546.0
2468.0,5.0,41.0,A,387195.0
450.0,5.0,53.0,B,164885.0
2018.0,1.0,74.0,A,287151.0
2659.0,5.0,69.0,B,382337.0
1180.0,4.0,78.0,A,209776.0
1591.0,1.0,3.0,B,280081.0
1386.0,3.0,18.0,B,280196.0
1308.0,5.0,45.0,B,228688.0
1621.0,2.0,3.0,B,269941.0
2585.0,1.0,28.0,C,408345.0
2811.0,5.0,12.0,C,459268.0
1615.0,5.0,74.0,B,250553.0
2848.0,5.0,5.0,B,453302.0
1820.0,5.0,11.0,D,376123.0
2765.0,5.0,15.0,A,418309.0
1749.0,3.0,11.0,A,284422.0
1872.0,1.0,45.0,A,261716.0
2001.0,4.0,29.0,C,376536.0
3548.0,2.0,72.0,B,463546.0
2268.0,3.0,20.0,C,362414.0
1411.0,4.0,42.0,,271840.0
2333.0,,52.0,A,369339.0
1601.0,2.0,50.0,D,270673.0
1531.0,2.0,63.0,C,236464.0
2300.0,4.0,16.0,A,311645.0
1817.0,1.0,40.0,,277694.0
1953.0,3.0,64.0,A,263594.0
1808.0,4.0,69.0,A,267119.0
1985.0,3.0,49.0,A,308278.0
2034.0,2.0,52.0,D,339049.0
735.0,5.0,69.0,,173676.0
2167.0,,49.0,B,317903.0
1260.0,4.0,75.0,C,255392.0
1007.0,3.0,10.0,B,215843.0
1768.0,1.0,27.0,D,306871.0
1846.0,3.0,8.0,C,324347.0
1419.0,1.0,7.0,B,261705.0
2257.0,5.0,37.0,B,370758.0
1062.0,4.0,18.0,D,235201.0
1576.0,2.0,32.0,C,292032.0
1478.0,3.0,35.0,,277418.0
1774.0,4.0,49.0,A,305980.0
1953.0,2.0,75.0,D,354592.0
1246.0,2.0,67.0,B,212868.0
2198.0,3.0,30.0,A,330405.0
1835.0,2.0,26.0,B,287919.0
759.0,4.0,61.0,C,200300.0
723.0,1.0,9.0,A,134194.0
1793.0,5.0,43.0,B,309821.0
1678.0,2.0,33.0,C,308249.0
1743.0,3.0,14.0,A,267024.0
1785.0,1.0,49.0,B,257726.0
1924.0,2.0,25.0,B,279243.0
2321.0,4.0,14.0,A,334331.0
1189.0,,52.0,D,213912.0
1155.0,1.0,13.0,C,241647.0
1199.0,3.0,53.0,A,235508.0
1959.0,1.0,12.0,D,377387.0
2485.0,2.0,34.0,D,379778.0
1563.0,3.0,64.0,A,253657.0
450.0,3.0,18.0,C,185142.0
863.0,4.0,61.0,A,155074.0
1342.0,4.0,57.0,D,285119.0
1493.0,5.0,72.0,C,238802.0
1575.0,1.0,13.0,C,282785.0
1821.0,2.0,57.0,A,243299.0
1629.0,1.0,74.0,D,291573.0
2377.0,1.0,61.0,A,290666.0
1428.0,2.0,15.0,A,242967.0
1326.0,3.0,65.0,A,230860.0
2063.0,5.0,8.0,C,354096.0
955.0,4.0,47.0,A,157412.0
2014.0,4.0,39.0,D,326910.0
1856.0,4.0,42.0,C,319692.0
1719.0,1.0,41.0,A,238298.0
2674.0,,2.0,A,379160.0
1458.0,5.0,40.0,A,260020.0
2933.0,1.0,74.0,B,390061.0
1676.0,3.0,34.0,C,276705.0
1098.0,5.0,22.0,A,202969.0
1838.0,3.0,79.0,C,323336.0
1208.0,5.0,7.0,A,244569.0
1387.0,5.0,38.0,C,275539.0
2018.0,3.0,41.0,D,374192.0
2106.0,1.0,38.0,C,309202.0
1458.0,2.0,73.0,C,251057.0
2343.0,2.0,33.0,C,373556.0
2437.0,3.0,77.0,A,330093.0
2590.0,3.0,5.0,A,391759.0
2091.0,3.0,58.0,A,289011.0
2550.0,1.0,47.0,B,372746.0
766.0,2.0,19.0,C,197307.0
1625.0,4.0,18.0,B,227357.0
1323.0,1.0,57.0,D,280616.0
1866.0,2.0,51.0,A,211117.0
1486.0,5.0,48.0,,274199.0
1709.0,1.0,4.0,A,282187.0
2835.0,3.0,47.0,A,391404.0
1707.0,2.0,78.0,C,249216.0
2028.0,1.0,1.0,D,339135.0
1672.0,3.0,37.0,B,297228.0
1842.0,3.0,39.0,A,242960.0
1803.0,1.0,71.0,B,287090.0
2047.0,1.0,22.0,A,294838.0
2441.0,1.0,38.0,D,373772.0
2706.0,4.0,57.0,C,410108.0
1970.0,5.0,4.0,A,304656.0
2124.0,1.0,64.0,A,307805.0
1167.0,2.0,65.0,A,197939.0
1752.0,2.0,57.0,D,281907.0
2317.0,2.0,51.0,B,333118.0
2276.0,2.0,59.0,C,336206.0
1916.0,1.0,62.0,B,307090.0
2288.0,3.0,72.0,,311358.0
2070.0,2.0,34.0,A,334585.0
2460.0,2.0,36.0,D,407934.0
1959.0,2.0,51.0,A,259991.0
1604.0,5.0,15.0,B,278685.0
1985.0,4.0,68.0,C,315368.0
450.0,3.0,61.0,B,96158.0
2011.0,2.0,50.0,D,351717.0
450.0,5.0,24.0,A,111042.0
